avgmem-true,forecast
0.10409204962815281,0.03351806
0.10377852898248227,0.03839654
0.10161871446125453,0.0811951
0.09896073777407595,0.04962772
0.0928500095997106,0.06440679
0.0875353374717702,0.0726102
0.07626714060715858,0.08832568
0.06680116766925814,0.09065525
0.05432817305942346,0.07593896
0.040567977060967056,0.056793638
0.027953328579686215,0.081360124
0.013671517817884254,0.066713676
0.0009074614522379944,-0.07028275
-0.014236247557478435,-0.06134113
-0.02953757899962519,-0.05287479
-0.042543146572890295,-0.053009257
-0.05946830820161321,-0.06001193
-0.074171957092926,-0.054413725
-0.08202657448426351,-0.039593678
-0.08584928209363579,-0.06073167
-0.08029787524004342,-0.041725434
-0.07253720841053996,-0.044493504
-0.0653362086741421,-0.042278603
-0.055696506171161446,-0.049535926
-0.04410950981231037,-0.046650317
-0.03560579177405232,-0.042085927
-0.03275214634564021,-0.034721136
-0.03086330011565044,-0.040150195
-0.03147711138661575,-0.041110713
-0.03480106469806106,-0.038782284
-0.03832108629929772,-0.038916748
-0.04253532270053681,-0.0350224
-0.04732316453325079,-0.041853543
-0.047652436069961404,-0.041013017
-0.04489688417950195,-0.038086217
-0.041553644941990195,-0.039957713
-0.03781748096321178,-0.04336243
-0.03303177967735528,-0.0410617
-0.029743880555053,-0.032680027
-0.02810304529076852,-0.038488872
-0.028477559046821758,-0.035840258
-0.029929361189814832,-0.033428162
-0.03217828495493428,-0.033958334
-0.03380779281554933,-0.030064523
-0.03625763782798858,-0.03614783
-0.03907233600958954,-0.03928067
-0.0424882357824512,-0.034027282
-0.04498739978121725,-0.036340743
-0.045740156102363455,-0.03697784
-0.04763133669764755,-0.03181491
-0.049518054523366904,-0.04553355
-0.04784757348369155,-0.043304052
-0.043463708665046875,-0.035073802
-0.038195590935508124,-0.03489051
-0.035439184032328194,-0.040748954
-0.03445022031262691,-0.039922625
-0.033767516232381674,-0.040954273
-0.03187823408786996,-0.035240132
-0.029413850152437113,-0.04312653
-0.029301448478317237,-0.038353946
-0.025344603549843723,-0.05185239
-0.016613913800195217,-0.049001463
-0.011211765479818815,-0.02383901
-0.010075790047773913,-0.040778037
-0.015139096527816021,-0.03500305
-0.021403657209792124,-0.029338565
-0.02402884481236312,-0.024934126
-0.028577397501200492,-0.017004456
-0.035993909079608935,-0.030527744
-0.047327992239063185,-0.039717324
-0.05493988965817902,-0.026029075
-0.06329801622949983,-0.03429627
-0.07568759540141057,-0.054591622
-0.08825444340487905,-0.04190537
-0.09693886037953293,-0.0937699
-0.09812658362720943,-0.075169526
-0.09422115491421033,-0.05702818
-0.08554791785035003,-0.056851424
-0.07513810090843495,-0.074845776
-0.06271611626565941,-0.083672106
-0.05167170993604917,-0.06972792
-0.04131094101995583,-0.051670983
-0.03328017150554547,-0.079374805
-0.02658100205326534,-0.06470333
-0.022862078257428628,-0.013489659
-0.021853296753448513,-0.007870205
-0.023525092023454677,-0.022710096
-0.021829989862163234,-0.017751131
-0.02098706704909554,-0.011134244
-0.015982463668932797,-0.009121072
-0.012540881099092259,-0.01826648
-0.009030124617196985,-0.016522007
-0.006944022016295581,-0.01699613
-0.005743711007781872,-0.010700282
-0.006053378500536456,-0.019473482
-0.006667308509373406,-0.014085809
-0.0024350187763250574,-0.011261876
0.0019026928964124134,-0.0059255855
